#date questions answers comments votes views
2008-07-31 5 2 0 3 282084
2008-08-01 53 118 3 159 934844
2008-08-02 32 92 10 287 962956
2008-08-03 36 129 3 326 834780
2008-08-04 86 306 9 766 2717084
2008-08-05 136 473 15 831 2948112
2008-08-06 118 463 26 1038 2663074
2008-08-07 148 507 21 936 2204205
2008-08-08 100 421 17 792 1287069
2008-08-09 46 219 2 381 451361
2008-08-10 46 186 5 344 779773
2008-08-11 93 407 11 641 1639981
2008-08-12 115 478 19 866 2460128
2008-08-13 115 499 16 801 1355990
2008-08-14 136 589 21 1054 2473668
2008-08-15 120 558 13 1032 1200303
2008-08-16 41 245 6 591 244881
2008-08-17 62 277 10 656 446768
2008-08-18 159 645 13 1423 1688539
2008-08-19 194 910 21 1736 2988537
2008-08-20 194 897 25 2078 3277332
2008-08-21 242 1038 20 2438 2850012
2008-08-22 232 1066 21 1928 2848999
2008-08-23 94 493 4 1110 1356213
2008-08-24 85 378 7 1016 1406797
2008-08-25 188 796 15 1800 3848305
2008-08-26 235 1044 15 2107 4041058
2008-08-27 273 1126 11 2282 3950656
2008-08-28 279 1209 25 2427 3197987
2008-08-29 249 1007 13 2123 2896094
2008-08-30 133 528 9 1326 1553625
2008-08-31 100 416 1 1239 1448835
2008-09-01 193 764 15 1804 3421070
2008-09-02 304 1264 16 2741 4634219
2008-09-03 263 1098 21 2705 3534711
2008-09-04 270 1141 23 2794 3960915
2008-09-05 280 1085 24 2477 4661752
2008-09-06 115 502 40 1431 1568261
2008-09-07 120 507 83 1548 2155302
2008-09-08 296 1162 257 3084 3148103
2008-09-09 326 1308 368 3325 4573126
2008-09-10 325 1231 451 3193 4661586
2008-09-11 355 1409 515 3648 5093230
2008-09-12 292 1226 632 3139 5123772
2008-09-13 115 472 224 1419 1584217
2008-09-14 109 458 294 1719 1985758
2008-09-15 740 3828 1020 5540 10596740
2008-09-16 1173 6284 1807 9524 16109216
2008-09-17 1200 5933 2089 10626 18462400
2008-09-18 1063 5280 2123 11325 15396897
2008-09-19 993 4804 2266 11361 11413248
2008-09-20 354 1821 882 5403 5097347
2008-09-21 296 1539 843 4879 3345714
2008-09-22 739 3520 1861 9118 10211505
2008-09-23 847 3770 2169 9622 11147026
2008-09-24 837 3472 1967 9399 9804632
2008-09-25 827 3685 2005 9757 12568468
2008-09-26 754 3392 2190 9256 9041369
2008-09-27 275 1289 822 4146 3486033
2008-09-28 261 1326 821 4450 3417105
2008-09-29 609 2532 1783 7763 7102852
2008-09-30 677 2834 1802 8198 9642532
2008-10-01 647 2693 1774 7974 7830815
2008-10-02 669 2895 1995 9105 9006680
2008-10-03 559 2437 1724 8012 6229007
2008-10-04 228 1041 724 3989 3751683
2008-10-05 234 922 663 3637 2603147
2008-10-06 534 2270 1610 7880 5692008
2008-10-07 621 2504 1796 8165 9119016
2008-10-08 692 2714 1904 8074 8359120
2008-10-09 684 2594 1998 8161 8342120
2008-10-10 599 2207 1608 6858 6935531
2008-10-11 199 893 623 3530 3395826
2008-10-12 199 892 626 3262 2895034
2008-10-13 531 1950 1429 6473 6642201
2008-10-14 633 2309 1629 7005 8186270
2008-10-15 571 2111 1617 6938 7410822
2008-10-16 623 2240 1634 7486 7425655
2008-10-17 558 2118 1559 6962 5100974
2008-10-18 209 919 585 3592 2567512
2008-10-19 195 852 632 3192 2258230
2008-10-20 508 2001 1507 7032 6196953
2008-10-21 619 2299 1763 7648 6434914
2008-10-22 639 2328 1867 7406 7553087
2008-10-23 597 2313 1946 7406 6304794
2008-10-24 531 2032 1753 7351 5459493
2008-10-25 224 953 680 3824 3370513
2008-10-26 223 853 657 3280 2288252
2008-10-27 447 1668 1320 6045 3740512
2008-10-28 602 2126 1692 6812 4925163
2008-10-29 610 2161 1686 6934 6259234
2008-10-30 566 2078 1610 6594 5011929
2008-10-31 509 1818 1401 5924 5453485
2008-11-01 149 634 527 2533 1555788
2008-11-02 202 798 621 2908 2594679
2008-11-03 489 1631 1206 5459 3430905
2008-11-04 600 2089 1352 5937 5136537
2008-11-05 553 1886 1490 5794 5034793
2008-11-06 662 2137 1637 6048 5232284
2008-11-07 572 1942 1647 6066 6399112
2008-11-08 210 876 703 2910 2114127
2008-11-09 222 785 639 2659 2475965
2008-11-10 549 1828 1431 5558 5199367
2008-11-11 532 1768 1504 5319 3931343
2008-11-12 630 2037 1747 5867 4936358
2008-11-13 553 1809 1512 5499 4459191
2008-11-14 537 1797 1598 5170 5183406
2008-11-15 242 912 692 2593 2142057
2008-11-16 217 809 746 2706 1715727
2008-11-17 530 1675 1304 5070 4090978
2008-11-18 619 1847 1475 5410 5983588
2008-11-19 607 1929 1546 5447 5555750
2008-11-20 623 1921 1489 5544 6712037
2008-11-21 583 1838 1617 5694 6186362
2008-11-22 220 790 635 2663 2429024
2008-11-23 209 743 694 2637 1819572
2008-11-24 517 1643 1477 5452 4168251
2008-11-25 587 2044 1573 6672 5903025
2008-11-26 568 1933 1638 5739 4270597
2008-11-27 399 1333 1047 4024 3241964
2008-11-28 366 1248 1041 3931 2944920
2008-11-29 213 755 634 2394 1722046
2008-11-30 204 734 753 2403 1386921
2008-12-01 481 1661 1415 5019 4007738
2008-12-02 574 1894 1644 5624 5000264
2008-12-03 580 1900 1672 5969 6180987
2008-12-04 601 1940 1679 5763 4381148
2008-12-05 533 1744 1511 5411 3533308
2008-12-06 228 818 687 2671 1912328
2008-12-07 216 744 657 2706 2328250
2008-12-08 505 1726 1534 5111 3862981
2008-12-09 575 1953 1689 5735 5170299
2008-12-10 599 1920 1712 5832 5042260
2008-12-11 602 2035 1782 5626 4882665
2008-12-12 509 1803 1629 5168 5300846
2008-12-13 231 834 695 2763 2230390
2008-12-14 190 686 608 2594 1522866
2008-12-15 533 1692 1708 5227 4798278
2008-12-16 567 1808 1769 5872 4322371
2008-12-17 585 2060 1831 5747 5665540
2008-12-18 583 1904 1985 6242 3323859
2008-12-19 489 1731 1835 5411 3474260
2008-12-20 188 806 807 2727 1429735
2008-12-21 185 743 752 2510 1307386
2008-12-22 415 1494 1373 4489 3146805
2008-12-23 434 1573 1538 4816 4516370
2008-12-24 301 1105 1110 3709 2110543
2008-12-25 129 495 479 1849 888781
2008-12-26 181 666 640 2428 1349744
2008-12-27 184 673 538 2230 1902960
2008-12-28 183 819 691 2717 1375453
2008-12-29 365 1389 1317 4892 2312291
2008-12-30 456 1655 1488 5217 3738923
2008-12-31 333 1412 1511 4520 2894279
2009-01-01 200 801 856 3035 1233746
2009-01-02 388 1557 1794 5349 4567174
2009-01-03 251 1076 1265 4079 2753237
2009-01-04 288 1102 1156 3802 2062421
2009-01-05 487 1842 1987 7071 3865086
2009-01-06 611 2272 2236 7812 5563122
2009-01-07 657 2426 2442 7942 4437241
2009-01-08 636 2255 2466 7839 7020418
2009-01-09 603 2118 2292 6849 3922754
2009-01-10 282 1083 1069 3926 1831665
2009-01-11 340 1240 1076 4636 3000233
2009-01-12 629 2137 2116 7381 3860445
2009-01-13 681 2161 2218 7378 5062024
2009-01-14 680 2305 2410 7478 5379950
2009-01-15 722 2349 2184 7188 5660220
2009-01-16 613 2081 2189 6808 5385541
2009-01-17 314 1020 884 3666 2563441
2009-01-18 310 1082 965 3767 3047878
2009-01-19 650 2091 1941 6433 4747266
2009-01-20 685 2380 2242 7661 5022674
2009-01-21 709 2416 2407 7829 4581999
2009-01-22 677 2159 2199 7112 5796493
2009-01-23 689 2237 2381 7088 5327032
2009-01-24 291 1064 1038 3579 1946181
2009-01-25 278 903 967 3366 3311553
2009-01-26 631 2130 2264 7386 4007844
2009-01-27 705 2433 2543 8118 4918492
2009-01-28 703 2455 2254 7425 4888124
2009-01-29 731 2500 2576 8158 6382393
2009-01-30 658 2293 2688 7552 5132517
2009-01-31 324 1235 1238 4324 3518108
2009-02-01 301 1234 1190 4418 3323886
2009-02-02 633 2266 2237 7560 5371821
2009-02-03 742 2503 2539 8644 5768328
2009-02-04 810 2699 2797 8532 6747701
2009-02-05 817 2893 3077 9025 5017073
2009-02-06 726 2665 3058 8167 6368977
2009-02-07 354 1255 1256 4236 2456314
2009-02-08 318 1150 1270 4469 2526198
2009-02-09 737 2467 2760 7830 4781794
2009-02-10 807 2702 2852 8678 4481258
2009-02-11 830 2836 2988 8530 5007424
2009-02-12 919 2974 3142 8795 6859788
2009-02-13 730 2513 2813 8252 4266814
2009-02-14 299 1129 1196 3852 1618706
2009-02-15 315 1233 1380 4425 1911659
2009-02-16 626 1930 2248 6475 4099403
2009-02-17 752 2716 2743 8816 4651683
2009-02-18 789 2592 2889 8210 5901935
2009-02-19 780 2670 3045 8876 5136216
2009-02-20 706 2413 2871 7884 4597938
2009-02-21 334 1265 1500 4741 2992969
2009-02-22 383 1319 1514 4846 3125309
2009-02-23 745 2337 2751 8124 5340052
2009-02-24 813 2686 2983 8695 5092056
2009-02-25 833 2691 2967 8768 6233494
2009-02-26 890 2912 3235 8767 6285533
2009-02-27 801 2636 3282 8433 6805710
2009-02-28 343 1143 1345 4031 1794183
2009-03-01 338 1159 1397 4200 3046905
2009-03-02 702 2385 2855 7446 4989683
2009-03-03 866 2577 3175 8475 5320094
2009-03-04 850 2754 3456 8574 6008736
2009-03-05 817 2715 3146 8892 4605413
2009-03-06 750 2355 2891 7304 4323906
2009-03-07 347 1175 1298 3946 1930752
2009-03-08 355 1169 1253 4220 2370938
2009-03-09 778 2557 2837 8050 4989152
2009-03-10 814 2605 3128 7965 4901820
2009-03-11 795 2528 3088 7808 4686753
2009-03-12 839 2514 3149 8134 5592837
2009-03-13 809 2573 2935 7815 5196321
2009-03-14 380 1185 1298 3857 2574643
2009-03-15 349 1176 1565 4021 2156106
2009-03-16 798 2419 2730 7434 5499529
2009-03-17 790 2379 3000 7873 4820617
2009-03-18 813 2564 3172 8019 5421395
2009-03-19 782 2350 2740 7472 5754090
2009-03-20 806 2374 2851 7384 4357455
2009-03-21 353 1189 1304 3835 1504645
2009-03-22 309 1017 1303 3962 2194002
2009-03-23 795 2440 2870 7423 5147452
2009-03-24 849 2599 2959 8354 5326460
2009-03-25 896 2617 3320 8247 5925291
2009-03-26 835 2509 3187 8423 4951526
2009-03-27 794 2389 2837 7858 4943627
2009-03-28 397 1198 1264 3880 2279185
2009-03-29 358 1205 1211 3982 2073784
2009-03-30 800 2455 2668 7940 4145428
2009-03-31 829 2394 2858 7271 4856333
2009-04-01 894 2569 2795 7422 5547288
2009-04-02 917 2708 3266 8018 5064863
2009-04-03 780 2596 3003 7732 4699064
2009-04-04 369 1259 1472 4216 1950398
2009-04-05 370 1121 1227 3654 1664597
2009-04-06 775 2409 2758 7780 4643460
2009-04-07 899 2625 2962 7937 5493744
2009-04-08 906 2744 3211 8372 5543523
2009-04-09 836 2578 3059 7807 5827084
2009-04-10 577 1758 2147 5769 3483550
2009-04-11 378 1143 1345 3933 2564526
2009-04-12 340 973 1041 3367 2024216
2009-04-13 664 1949 2287 6465 4164913
2009-04-14 782 2497 2786 8042 4328222
2009-04-15 884 2851 3361 8944 4821761
2009-04-16 851 2749 3366 8586 4849195
2009-04-17 867 2546 3020 8047 4841736
2009-04-18 377 1266 1423 4096 1725077
2009-04-19 395 1207 1340 4655 2080628
2009-04-20 858 2590 2783 9338 4825874
2009-04-21 981 2946 3198 8914 5252660
2009-04-22 919 2838 3109 8516 4686979
2009-04-23 896 2727 3173 8260 4687081
