#sudo java -jar target/AppEvaluation-1.0-SNAPSHOT-jar-with-dependencies.jar proxy:9000 --fileParallel .*.txt --perTopic --readPercentage 0.95
#Files in parallel .*.txt
#Read percentage 0.95
#rate #total
544 3908
642 10305
1093 19906
1199 32665
1558 48464
1492 64998
1464 81049
1521 97391
1535 114141
1554 131316
1514 148241
1537 165166
1590 182386
1573 199823
1623 217596
1653 235222
1547 252773
1613 270573
1599 288349
1643 306035
1617 323685
1558 341187
1593 358566
1466 375492
1571 392755
1622 410115
1519 426833
1578 443979
1528 461082
1516 478128
1566 495268
1587 512294
1567 529426
1509 546161
1553 562653
1539 579586
1533 596592
1551 613550
1507 630403
1580 647406
1490 664368
1566 679554
1544 696497
1484 713100
1554 729849
1547 746368
1556 763222
1567 780095
1468 796839
1550 813720
1481 830516
1573 847431
1367 877513
1388 891911
1442 907645
1452 923248
1538 941548
1565 957030
1695 969921
2890 999446
