#Time	Parallel	Client
0001	2072	0002
0002	2011	0189
0003	1990	0003
0004	1886	0057
0005	2090	0123
0006	1950	0139
0007	1551	0157
0008	1993	0004
0009	1866	0029
0010	1905	0135
0011	2072	0141
0012	1468	0136
0013	1986	0004
0014	2123	0046
0015	2061	0100
0016	2113	0086
0017	2101	0102
0018	2020	0004
0019	2047	0060
0020	2018	0077
0021	1963	0172
0022	2219	0100
0023	2047	0005
0024	2054	0051
0025	1312	0094
0026	1991	0108
0027	2131	0114
0028	2061	0004
0029	2028	0063
0030	2086	0101
0031	2041	0134
0032	2154	0143
0033	1888	0004
0034	2058	0037
0035	1767	0131
0036	1669	0135
0037	1668	0126
0038	1651	0004
0039	1647	0045
0040	1491	0150
0041	1561	0092
0042	1759	0092
0043	1614	0005
0044	1311	0051
0045	1551	0081
0046	1711	0085
0047	1772	0006
0048	1747	0036
0049	1665	0067
0050	1628	0082
0051	1746	0006
0052	1787	0037
0053	1657	0069
0054	1789	0081
0055	1580	0006
0056	1708	0040
0057	1751	0060
0058	1832	0073
0059	1797	0006
0060	1781	0050
0061	1797	0062
0062	1928	0075
0063	1880	0006
0064	1904	0057
0065	1703	0072
0066	1694	0064
0067	1931	0051
0068	1482	0030
0069	1722	0064
0070	1745	0072
0071	1713	0047
0072	1650	0029
0073	1615	0061
0074	1805	0069
0075	1926	0044
0076	1905	0020
0077	1880	0048
0078	1918	0067
0079	1843	0062
0080	1992	0020
0081	1901	0052
0082	1955	0062
0083	1743	0049
0084	1897	0018
0085	1938	0043
0086	1964	0062
0087	2073	0055
0088	2125	0026
0089	2059	0050
0090	2031	0056
0091	1870	0059
0092	1853	0018
0093	1809	0056
0094	1713	0069
0095	1789	0050
0096	1743	0114
0097	1656	0067
0098	1550	0027
0099	1686	0023
0100	1202	0063
0101	1574	0070
0102	1592	0023
0103	1705	0035
0104	1614	0058
0105	1541	0062
0106	1777	0028
0107	1780	0022
0108	1878	0053
0109	1692	0061
0110	1751	0022
0111	2010	0022
0112	2007	0052
0113	1962	0092
0114	2004	0022
0115	1769	0023
0116	1943	0059
0117	1781	0060
0118	2012	0027
0119	2010	0024
0120	2051	0056
0121	1849	0056
0122	1907	0024
0123	1814	0024
0124	1828	0064
0125	1707	0074
0126	1732	0024
0127	1638	0040
0128	1586	0058
0129	1538	0073
0130	1653	0070
0131	1519	0006
0132	1585	0061
0133	1545	0074
0134	1444	0068
0135	1561	0057
0136	1481	0022
0137	1286	0063
0138	1549	0077
0139	1593	0056
0140	1411	0068
0141	1423	0032
0142	1439	0051
0143	1520	0053
0144	1498	0072
0145	1548	0024
0146	1545	0053
0147	1541	0047
0148	1676	0067
