#Time	Serial	Client
0001	0911	0264
0003	0884	0335
0004	0911	0268
0005	1183	0231
0006	0911	0283
0007	0845	0303
0009	0622	0298
0010	0622	0242
0011	0734	0226
0012	0637	0210
0013	0598	0202
0014	0649	0201
0015	0004	0196
0016	0513	0193
0017	0627	0190
0018	0507	0189
0019	1013	0183
0020	0514	0176
0021	0508	0177
0022	0934	0186
0023	0535	0189
0024	0497	0197
0025	0508	0191
0026	0500	0209
0027	0399	0210
0028	0493	0209
0029	0986	0215
0030	0460	0226
0031	0477	0225
0032	0474	0225
0033	0924	0227
0034	0452	0230
0035	0466	0214
0036	0460	0217
0037	0864	0234
0038	0437	0227
0039	0777	0224
0040	1053	0234
0041	0587	0220
0042	0451	0227
0043	0442	0205
0044	0066	0236
0045	0437	0231
0046	0421	0227
0047	0453	0232
0048	0471	0241
0049	0936	0217
0050	0436	0240
0051	0443	0250
0052	0462	0253
0053	0882	0244
0054	0433	0236
0055	0417	0262
0056	0436	0250
0057	0884	0252
0058	0470	0242
0059	0768	0246
0060	0721	0244
0061	0348	0249
0062	0794	0246
0063	0206	0247
0064	0438	0248
0065	0430	0247
0066	0450	0246
0067	0419	0253
0068	0876	0250
0069	0453	0252
0070	0420	0268
0071	0401	0258
0072	0875	0270
0073	0442	0261
0074	0424	0276
0075	0438	0266
0076	0899	0268
0077	0622	0263
0078	0667	0269
0079	0607	0266
0080	0325	0274
0081	0348	0260
0082	0448	0274
0083	0456	0263
0084	0426	0266
0085	0424	0264
0086	0892	0259
0087	0416	0260
0088	0426	0256
0089	0459	0266
0090	0865	0257
0091	0448	0261
0092	0450	0250
0093	0436	0255
0094	0838	0252
0095	0459	0250
0096	0751	0247
0097	0622	0257
0098	0685	0262
0099	0323	0267
0100	0456	0259
0101	0443	0264
0102	0452	0260
0103	0427	0257
0104	0420	0262
0105	0862	0271
0106	0414	0268
0107	0438	0269
0108	0420	0264
0109	0828	0265
0110	0405	0261
0111	0404	0266
0112	0405	0263
0113	0838	0269
0114	0417	0272
0115	0755	0269
0116	0648	0277
0117	0718	0276
0118	0304	0277
0119	0136	0260
0120	0411	0281
0121	0414	0274
0122	0396	0274
0123	0438	0269
0124	0821	0272
0125	0420	0268
0126	0433	0265
0127	0405	0263
0128	0810	0268
0129	0429	0265
0130	0403	0262
0131	0388	0274
0132	0803	0265
0133	0399	0274
0134	0405	0269
0135	0796	0266
0136	0698	0271
0137	0380	0273
0138	0566	0274
0139	0328	0277
0140	0316	0276
0141	0394	0269
0142	0401	0279
0143	0401	0281
0144	0795	0269
0145	0400	0283
0146	0399	0277
0147	0395	0281
0148	0852	0276
0149	0383	0275
0150	0444	0278
0151	0429	0282
0152	0822	0289
0153	0424	0282
0154	0443	0283
0155	0810	0281
0156	0830	0287
0157	0496	0273
0158	0498	0282
0159	0508	0279
0160	0320	0280
0161	0388	0283
0162	0430	0275
0163	0434	0278
0164	0202	0271
0165	0849	0281
0166	0435	0283
0167	0411	0289
0168	0408	0284
0169	0900	0287
0170	0422	0282
0171	0425	0282
0172	0439	0283
0173	0835	0282
0174	0610	0287
0175	0639	0279
0176	0741	0285
0177	0506	0284
0178	0436	0284
0179	0393	0281
0180	0424	0277
0181	0437	0287
0182	0417	0284
0183	0408	0290
0184	0429	0283
0185	0859	0289
0186	0391	0290
0187	0443	0284
0188	0437	0290
0189	0830	0287
0190	0426	0289
0191	0434	0285
0192	0430	0290
0193	0864	0281
0194	0607	0285
0195	0763	0279
0196	0602	0285
0197	0376	0288
0198	0442	0285
0199	0478	0289
0200	0423	0289
0201	0440	0288
0202	0452	0290
0203	0421	0277
0204	0826	0289
0205	0421	0285
0206	0417	0282
0207	0421	0284
0208	0844	0281
0209	0443	0287
0210	0411	0269
0211	0432	0286
0212	0884	0280
0213	0598	0279
0214	0687	0285
0215	0693	0273
0216	0385	0280
0217	0425	0277
0218	0454	0271
0219	0409	0279
0220	0428	0277
0221	0461	0285
0222	0862	0273
0223	0436	0282
0224	0449	0274
0225	0436	0279
0226	0835	0269
0227	0417	0281
0228	0421	0278
0229	0412	0274
0230	0831	0283
0231	0638	0270
0232	0666	0280
0233	0413	0266
0234	0670	0281
0235	0349	0274
0236	0428	0277
0237	0437	0276
0238	0445	0276
0239	0434	0282
0240	0869	0282
0241	0460	0277
0242	0425	0277
0243	0404	0295
0244	0910	0291
0245	0423	0285
0246	0417	0290
0247	0420	0281
0248	0867	0291
0249	0621	0276
0250	0598	0287
0251	0535	0287
0252	0606	0277
0253	0667	0285
0254	0513	0282
0255	0159	0281
0256	0419	0279
0257	0372	0273
0258	0401	0288
0259	0392	0277
0260	0827	0281
0261	0411	0282
0262	0416	0279
0263	0408	0282
0264	0836	0269
0265	0422	0282
0266	0414	0279
0267	0385	0277
0268	0831	0276
0269	0635	0281
0270	0527	0281
0271	0502	0269
0272	0968	0278
0273	0552	0271
0274	0053	0287
0275	0410	0271
0276	0408	0276
0277	0403	0269
0278	0414	0272
0279	0846	0263
0280	0410	0273
0281	0410	0272
0282	0412	0271
0283	0828	0271
0284	0435	0273
0285	0357	0269
0286	0423	0270
0287	0834	0261
0288	0616	0272
0290	0657	0268
0291	0657	0270
0292	0474	0264
0293	0480	0278
0294	0653	0263
0295	0169	0265
0296	0421	0265
0297	0415	0265
0298	0414	0265
0299	0407	0265
0300	0822	0263
0301	0423	0268
0302	0418	0255
0303	0414	0259
0304	0830	0260
0305	0410	0258
0306	0432	0271
0307	0405	0254
0308	0844	0257
0309	0605	0260
0311	0585	0257
0312	0585	0258
0313	0444	0251
0314	0607	0259
0315	0424	0261
0316	0442	0255
0317	0527	0263
0318	0514	0252
0319	0518	0249
0320	0532	0262
0321	0508	0253
0322	0536	0261
0323	0514	0252
0324	0530	0259
0325	0537	0260
0326	0543	0250
0327	0523	0255
0328	0545	0252
0329	0522	0258
0330	0521	0253
0331	0593	0250
0333	0527	0254
0334	0527	0256
0335	0813	0240
0336	0211	0257
0337	0437	0249
0338	0425	0253
0339	0434	0251
0340	0408	0246
0341	0822	0256
0342	0416	0242
0343	0417	0241
0344	0431	0247
0345	0849	0253
0346	0429	0248
0347	0420	0243
0348	0424	0256
0349	0847	0250
0350	0425	0251
0351	0425	0232
0352	0424	0255
0353	0916	0249
0354	1011	0245
0355	0381	0246
0356	0397	0248
0357	0368	0255
0358	0486	0232
0359	0433	0250
0360	0426	0246
0361	0430	0247
0362	0426	0241
0363	0832	0246
0364	0423	0245
0365	0430	0244
0366	0423	0234
0367	0860	0252
0368	0424	0240
0369	0424	0239
0370	0427	0239
0371	0834	0245
0372	0644	0237
0373	1004	0238
0374	0377	0244
0375	0545	0245
0376	0368	0235
0377	0332	0239
0378	0414	0245
0379	0423	0241
0380	0432	0242
0381	0417	0234
0382	0872	0245
0383	0420	0235
0384	0423	0241
0385	0424	0246
0386	0850	0239
0387	0429	0241
0388	0438	0239
0389	0434	0247
0390	0865	0243
0391	0649	0252
0392	0828	0246
0393	0388	0250
0394	0718	0244
0395	0209	0252
0396	0435	0245
0397	0435	0244
0398	0424	0244
0399	0437	0257
0400	0815	0265
0401	0436	0257
0402	0424	0260
0403	0429	0247
0404	0858	0259
0405	0429	0259
0406	0431	0253
0407	0440	0260
0408	0844	0250
0409	0632	0259
0410	0743	0257
0411	0368	0244
0412	0700	0258
0413	0332	0256
0414	0428	0250
0415	0434	0263
0416	0429	0257
0417	0447	0256
0418	0838	0255
0419	0420	0257
0420	0447	0252
0421	0424	0258
0422	0875	0258
0423	0424	0260
0424	0430	0258
0425	0419	0250
0426	0852	0259
0427	0650	0253
0428	0782	0261
0429	0368	0278
0430	0688	0264
0431	0269	0255
0432	0435	0258
0433	0418	0244
0434	0445	0260
0435	0462	0253
0436	0920	0250
0437	0431	0255
0438	0438	0253
0439	0450	0252
0440	0921	0246
0441	0435	0250
0442	0441	0253
0443	0460	0246
0444	0925	0248
0445	0629	0251
0446	0930	0255
0448	0383	0246
0449	0383	0245
0450	0682	0250
0451	0700	0257
0452	0320	0257
0453	0568	0263
0454	0530	0257
0455	0570	0255
0456	0591	0257
0457	0526	0262
0458	0588	0264
0459	0559	0264
0460	0460	0265
0461	0592	0266
0462	0596	0259
0463	0558	0260
0464	0533	0265
0465	0531	0263
0466	0552	0264
0467	0941	0266
0468	0401	0267
0469	0528	0260
0470	0427	0260
0471	0575	0268
0472	0537	0265
0473	0536	0262
0474	0585	0271
0475	0599	0262
0476	0546	0261
0477	0538	0268
0478	0542	0254
0479	0566	0267
0480	0603	0260
0481	0549	0263
0482	0579	0266
0483	0559	0260
0484	0546	0258
0485	0607	0255
0486	0769	0260
0487	0533	0259
0488	0499	0262
0489	0479	0258
0490	0390	0263
0491	0497	0257
0492	0437	0255
0493	0427	0270
0494	0429	0265
0495	0889	0263
0496	0466	0266
0497	0447	0266
0498	0435	0261
0499	0885	0268
0500	0470	0256
0501	0431	0261
0502	0431	0264
0503	0933	0262
0504	0676	0273
0505	0574	0266
0506	0844	0267
0507	0408	0257
0508	0411	0270
0509	0522	0270
0510	0478	0276
0511	0441	0264
0512	0432	0271
0513	0450	0265
0514	0906	0260
0515	0432	0268
0516	0433	0271
0517	0473	0267
0518	0911	0269
0519	0464	0271
0520	0420	0269
0521	0439	0265
0522	0994	0263
0523	0874	0262
0524	0401	0272
0526	0504	0265
0527	0504	0265
0528	0532	0266
0529	0472	0264
0530	0453	0261
0531	0447	0266
0532	0444	0265
0533	0901	0265
0534	0432	0268
0535	0455	0268
0536	0478	0276
0537	0881	0261
0538	0460	0268
0539	0463	0266
0540	0437	0265
0541	0992	0266
0542	1002	0277
0543	0417	0271
0544	0414	0261
0545	0436	0273
0546	0526	0266
0547	0540	0276
0548	0572	0277
0549	0571	0268
0550	0499	0272
0551	0553	0271
0552	0589	0268
0553	0551	0281
0554	0540	0266
0555	0573	0271
0556	0560	0281
0557	0538	0279
0558	0560	0278
0559	0611	0266
0560	0531	0283
0561	0830	0279
0562	0397	0273
0563	0599	0274
0564	0422	0285
0565	0589	0279
0566	0545	0265
0567	0572	0284
0568	0563	0282
0569	0509	0281
0570	0559	0282
0571	0589	0290
0572	0547	0287
0573	0547	0282
0574	0562	0278
0575	0562	0292
0576	0529	0279
0577	0566	0300
0578	0578	0284
0579	0803	0283
0580	0399	0293
0581	0564	0276
0582	0335	0284
0583	0521	0292
0584	0606	0278
0585	0573	0276
0586	0545	0287
0587	0545	0281
0588	0538	0276
0589	0532	0267
0590	0581	0283
0591	0598	0281
0592	0551	0296
0593	0554	0282
0594	0546	0281
0595	0545	0293
0596	0560	0271
0597	0900	0284
0599	0534	0265
0600	0534	0288
0601	0760	0269
0602	0519	0284
0603	0434	0266
0604	0180	0278
0605	0440	0273
0606	0417	0275
0607	0451	0281
0608	0457	0292
0609	0887	0293
0610	0440	0292
0611	0426	0291
0612	0431	0301
0613	0858	0280
0614	0461	0290
0615	0462	0296
0616	0434	0298
0617	0843	0286
0618	0649	0292
0619	0786	0290
0620	0481	0296
0621	0345	0289
0622	0721	0281
0623	0422	0302
0624	0455	0302
0625	0429	0296
0626	0455	0294
0627	0439	0299
0628	0857	0297
0629	0446	0298
0630	0439	0303
0631	0462	0292
0632	0885	0297
0633	0436	0300
0634	0420	0294
0635	0438	0297
0636	0858	0301
0637	0461	0293
0638	0451	0296
0639	0439	0300
0640	0983	0292
0641	0649	0301
0642	0617	0304
0643	0607	0295
0644	0614	0290
0645	0617	0296
0647	0356	0292
0648	0356	0303
0649	0575	0299
0650	0497	0289
0651	0431	0295
0652	0438	0290
0653	0446	0297
0654	0461	0285
0655	0942	0283
0656	0449	0292
0657	0428	0287
0658	0431	0280
0659	0872	0285
0660	0433	0276
0661	0453	0287
0662	0459	0282
0663	0879	0276
0664	0438	0285
0665	0436	0273
0666	0906	0292
0667	0963	0288
0668	0610	0281
0669	0610	0286
0670	0604	0283
0672	0373	0285
0673	0373	0276
0674	0654	0284
0675	0652	0284
0676	0237	0278
0677	0460	0287
0678	0441	0282
0679	0447	0285
0680	0434	0282
0681	0894	0274
0682	0439	0285
0683	0454	0275
0684	0417	0285
0685	0854	0277
0686	0454	0279
0687	0469	0282
0688	0484	0278
0689	0890	0276
0690	0440	0269
0691	0436	0261
0692	0853	0272
0693	0644	0266
0694	0598	0263
0695	0592	0265
0696	0580	0242
0697	0724	0263
0698	0563	0261
0699	0157	0140
0700	0438	0298
0701	0453	0298
0702	0443	0271
0703	0430	0253
0704	0869	0324
0705	0427	0307
0706	0446	0266
0707	0434	0238
0708	0885	0234
0709	0442	0219
0710	0444	0191
0711	0445	0235
0712	0857	0203
0713	0656	0199
0714	1116	0191
0715	0484	0193
0716	0476	0137
0717	0589	0232
0718	0123	0186
0719	0479	0204
0720	0464	0154
0721	0443	0241
0722	0440	0219
0723	0854	0212
0724	0467	0226
0725	0445	0194
0726	0465	0272
0727	0900	0182
0728	0425	0282
0729	0448	0191
0730	0440	0267
0731	0881	0225
0732	0690	0226
0733	1036	0209
0734	0475	0230
0735	0461	0257
0736	0450	0233
0737	0343	0238
0738	0593	0242
0739	0575	0204
0740	0547	0271
0741	0510	0238
0742	0544	0234
0743	0531	0210
0744	0582	0292
0745	0577	0217
0746	0553	0298
0747	0567	0263
0748	0546	0263
0749	0521	0258
0750	0542	0265
0751	0583	0220
0752	0934	0285
0753	0454	0259
0754	0438	0259
0755	0398	0229
0756	0548	0252
0757	0560	0244
0758	0589	0287
0759	0572	0224
0760	0559	0295
0761	0551	0255
0762	0543	0264
0763	0535	0257
0764	0585	0267
0765	0552	0268
0766	0541	0276
0767	0541	0240
0768	0593	0279
0769	0567	0277
0770	0859	0309
0771	0486	0268
0772	0435	0282
0773	0390	0231
0774	0578	0280
0775	0552	0328
0776	0544	0232
0777	0566	0321
0778	0541	0217
0779	0553	0318
0780	0551	0263
0781	0572	0274
0782	0544	0273
0783	0553	0212
0784	0547	0269
0785	0546	0265
0786	0560	0249
0787	0545	0312
0788	0864	0207
0789	0574	0316
0790	0491	0208
0791	0232	0324
0792	0579	0261
0793	0539	0209
0794	0544	0279
0795	0552	0327
0796	0546	0276
0797	0553	0274
0798	0534	0273
0799	0538	0179
0800	0605	0252
0801	0577	0218
0802	0547	0332
0803	0551	0273
0804	0556	0222
0805	0539	0332
0806	0783	0276
0807	0397	0217
0808	0801	0341
0809	0160	0284
0810	0476	0280
0811	0441	0281
0812	0460	0279
0813	0456	0287
0814	0922	0226
0815	0434	0335
0816	0460	0280
0817	0452	0288
0818	0923	0279
0819	0458	0277
0820	0451	0277
0821	0466	0214
0822	0909	0268
0823	0461	0274
0824	0423	0280
0825	0902	0334
0826	0826	0280
0827	0411	0283
0828	0822	0273
0829	0224	0227
0830	0459	0338
0831	0462	0231
0832	0456	0341
0833	0458	0285
0834	0895	0288
0835	0455	0290
0836	0483	0282
0837	0449	0285
0838	0922	0233
0839	0447	0342
0840	0463	0289
0841	0445	0292
0842	0893	0288
0843	0664	0286
0844	0834	0236
0845	0395	0353
0846	1050	0300
0847	0017	0293
0848	0452	0231
0849	0458	0348
0850	0460	0223
0851	0465	0338
0852	0908	0287
0853	0465	0286
0854	0452	0286
0855	0481	0289
0856	0899	0295
0857	0441	0226
0858	0451	0348
0859	0491	0295
0860	0921	0293
0861	0672	0297
0862	0856	0239
0863	0434	0356
0864	0820	0292
0865	0182	0287
0866	0465	0289
0867	0458	0239
